time 	 LH 	 RH
7701	 7701	 7701 
000.047	50.0000	50.0000	
000.053	50.6501	49.3499	
000.105	51.2878	48.7122	
000.168	51.8658	48.1342	
000.237	52.5565	47.4435	
000.293	53.1199	46.8801	
000.352	53.3819	46.6181	
000.415	53.7270	46.2730	
000.479	54.0375	45.9625	
000.543	54.3862	45.6138	
000.603	54.7854	45.2146	
000.667	55.3846	44.6154	
000.731	56.0297	43.9703	
000.791	56.6069	43.3931	
000.851	57.1155	42.8845	
000.915	57.5560	42.4440	
000.979	57.9108	42.0892	
001.043	58.1758	41.8242	
001.103	58.4857	41.5143	
001.167	58.7974	41.2026	
001.231	59.0635	40.9365	
001.291	59.3743	40.6257	
001.351	59.7270	40.2730	
001.415	59.9156	40.0844	
001.479	60.2601	39.7399	
001.543	60.4533	39.5467	
001.603	60.5189	39.4811	
001.667	60.5294	39.4706	
001.731	60.4517	39.5483	
001.791	60.4097	39.5903	
001.855	60.6629	39.3371	
001.915	60.9053	39.0947	
001.979	61.1922	38.8078	
002.043	61.6413	38.3587	
002.103	61.9622	38.0378	
002.167	62.2768	37.7232	
002.231	62.5123	37.4877	
002.291	62.6375	37.3625	
002.355	62.5407	37.4593	
002.415	62.4080	37.5920	
002.479	62.1775	37.8225	
002.543	61.9362	38.0638	
002.603	61.9912	38.0088	
002.667	61.8421	38.1579	
002.731	61.8113	38.1887	
002.791	61.8286	38.1714	
002.855	61.7971	38.2029	
002.915	61.8984	38.1016	
002.980	62.0462	37.9538	
003.043	62.0161	37.9839	
003.103	62.1432	37.8567	
003.167	62.2979	37.7021	
003.231	62.4152	37.5848	
003.291	62.2004	37.7996	
003.355	61.9007	38.0993	
003.415	61.8458	38.1542	
003.479	61.8517	38.1483	
003.543	61.9859	38.0141	
003.603	62.0616	37.9384	
003.676	62.3800	37.6200	
003.731	62.6934	37.3066	
003.791	62.9431	37.0569	
003.855	63.1562	36.8438	
003.915	63.3147	36.6853	
003.979	63.1713	36.8287	
004.043	63.0136	36.9864	
004.103	62.7675	37.2325	
004.167	62.4287	37.5713	
004.231	62.1429	37.8571	
004.291	62.0820	37.9180	
004.355	62.1594	37.8406	
004.415	62.1149	37.8851	
004.479	61.9744	38.0256	
004.543	61.6164	38.3836	
004.603	61.2495	38.7505	
004.667	60.7061	39.2939	
004.731	60.1110	39.8890	
004.791	59.7561	40.2439	
004.855	59.4536	40.5464	
004.915	59.1692	40.8308	
004.979	59.0071	40.9929	
005.043	58.9462	41.0538	
005.103	59.0232	40.9768	
005.167	59.2034	40.7966	
005.231	59.3420	40.6580	
005.291	59.4162	40.5838	
005.355	59.5006	40.4994	
005.415	59.6105	40.3895	
005.479	59.7034	40.2966	
005.543	59.7462	40.2538	
005.603	59.6952	40.3048	
005.667	59.6882	40.3118	
005.731	59.7608	40.2392	
005.791	59.8552	40.1448	
005.855	59.9921	40.0079	
005.915	60.1750	39.8250	
005.979	60.3327	39.6673	
006.043	60.5741	39.4259	
006.103	60.8404	39.1596	
006.167	61.0119	38.9881	
006.231	61.2564	38.7436	
006.291	61.5473	38.4527	
006.355	61.8712	38.1288	
006.415	62.1439	37.8561	
006.479	62.5796	37.4204	
006.543	63.0369	36.9631	
006.603	63.4749	36.5251	
006.667	63.8639	36.1361	
006.731	64.2259	35.7741	
006.791	64.5278	35.4722	
006.855	64.9229	35.0771	
006.915	65.2736	34.7264	
006.979	65.6210	34.3790	
007.043	65.7466	34.2534	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.059	50.0000	50.0000	
000.062	51.4259	48.5741	
000.124	52.8050	47.1950	
000.184	54.1888	45.8112	
000.244	55.4980	44.5020	
000.308	56.6897	43.3103	
000.372	57.8327	42.1673	
000.432	59.0363	40.9637	
000.496	60.1908	39.8092	
000.560	61.2335	38.7665	
000.624	62.2365	37.7635	
000.684	63.0343	36.9657	
000.744	63.6952	36.3048	
000.808	64.5092	35.4908	
000.873	65.4066	34.5934	
000.932	66.4236	33.5764	
000.996	67.4636	32.5364	
001.060	68.4050	31.5950	
001.124	69.3390	30.6610	
001.184	70.2430	29.7570	
001.244	71.1309	28.8691	
001.308	71.9701	28.0299	
001.372	72.7186	27.2814	
001.432	73.4455	26.5545	
001.496	74.1455	25.8545	
001.560	74.8191	25.1809	
001.624	75.4851	24.5149	
001.684	76.1633	23.8367	
001.744	76.8790	23.1210	
001.808	77.5425	22.4575	
001.872	78.1800	21.8200	
001.932	78.5575	21.4425	
001.996	78.8570	21.1430	
002.060	79.0880	20.9120	
