time 	 LH 	 RH
7691	 7691	 7691 
000.029	50.0000	50.0000	
000.035	51.6508	48.3492	
000.090	53.2210	46.7791	
000.150	54.7684	45.2316	
000.218	56.2664	43.7336	
000.275	57.7013	42.2987	
000.337	59.0412	40.9588	
000.401	60.2464	39.7536	
000.461	61.3751	38.6249	
000.525	62.4936	37.5064	
000.589	63.6289	36.3711	
000.649	64.7167	35.2833	
000.713	65.6901	34.3099	
000.773	66.6081	33.3919	
000.837	67.4040	32.5960	
000.901	68.3398	31.6602	
000.961	69.2580	30.7420	
001.025	70.0681	29.9319	
001.089	70.8262	29.1738	
001.149	71.6322	28.3678	
001.213	72.4014	27.5986	
001.273	73.1049	26.8951	
001.337	73.7604	26.2396	
001.401	74.3547	25.6453	
001.461	74.9691	25.0309	
001.525	75.5951	24.4049	
001.589	76.1340	23.8660	
001.649	76.5766	23.4234	
001.712	77.0978	22.9022	
001.773	77.6213	22.3787	
001.836	78.2499	21.7501	
001.900	78.7179	21.2821	
001.960	79.1456	20.8544	
002.024	79.6197	20.3803	
002.089	80.0362	19.9638	
002.149	80.4382	19.5618	
002.212	80.9070	19.0930	
002.273	81.3944	18.6056	
002.336	81.8926	18.1074	
002.401	82.4052	17.5948	
002.461	82.8813	17.1187	
002.524	83.2890	16.7110	
002.588	83.6831	16.3169	
002.648	84.0789	15.9211	
002.713	84.4521	15.5479	
002.772	84.8166	15.1834	
002.836	85.0861	14.9139	
7693	 7693	 7693 
7701	 7701	 7701 
000.001	50.0000	50.0000	
000.055	50.0000	50.0000	
000.058	51.5043	48.4957	
000.120	52.9582	47.0418	
000.185	54.3216	45.6784	
000.244	55.6102	44.3898	
000.308	56.8579	43.1421	
000.372	58.0809	41.9191	
000.437	59.1994	40.8006	
000.496	60.3427	39.6573	
000.566	61.4551	38.5449	
000.620	62.5707	37.4293	
000.684	63.5371	36.4629	
000.744	64.4124	35.5876	
000.809	65.2689	34.7311	
000.872	65.9921	34.0079	
000.936	66.6968	33.3032	
000.996	67.4025	32.5975	
001.057	67.9279	32.0721	
001.121	68.4192	31.5808	
001.185	68.9638	31.0362	
001.244	69.5266	30.4734	
001.308	70.0927	29.9073	
001.372	70.5305	29.4695	
001.436	70.9871	29.0129	
001.496	71.4260	28.5740	
001.556	71.8023	28.1977	
001.620	72.3281	27.6719	
001.684	72.8647	27.1353	
001.744	73.4311	26.5689	
001.809	73.9488	26.0512	
001.872	74.4734	25.5266	
001.936	74.9819	25.0181	
001.996	75.5271	24.4729	
002.056	76.0280	23.9720	
002.120	76.4487	23.5513	
002.184	76.8296	23.1704	
002.244	77.1376	22.8624	
002.308	77.3836	22.6164	
002.372	77.6278	22.3722	
002.436	77.8576	22.1423	
002.496	78.1178	21.8822	
002.556	78.3950	21.6050	
002.620	78.5531	21.4469	
002.684	78.8537	21.1463	
002.744	79.0603	20.9397	
002.808	79.3425	20.6575	
002.872	79.6314	20.3686	
002.936	79.9774	20.0226	
002.996	80.2563	19.7437	
003.056	80.5263	19.4737	
003.120	80.8276	19.1724	
003.185	81.1245	18.8755	
003.244	81.4524	18.5476	
003.308	81.7320	18.2680	
003.372	81.9936	18.0064	
003.436	82.2728	17.7272	
003.496	82.5559	17.4441	
003.556	82.7886	17.2114	
003.620	83.0822	16.9178	
003.684	83.3086	16.6914	
003.744	83.4574	16.5426	
003.808	83.4708	16.5292	
003.872	83.5099	16.4901	
003.936	83.4495	16.5505	
003.996	83.3193	16.6807	
004.056	83.1755	16.8245	
004.120	83.1063	16.8937	
004.184	83.0714	16.9286	
004.244	83.0151	16.9849	
004.308	82.9654	17.0346	
004.372	82.8276	17.1725	
004.436	82.6793	17.3207	
004.496	82.4848	17.5152	
004.556	82.2314	17.7686	
004.620	81.8062	18.1938	
004.684	81.3756	18.6244	
004.744	80.9444	19.0556	
004.808	80.5016	19.4984	
004.872	79.9909	20.0091	
004.936	79.7017	20.2983	
004.996	79.5102	20.4898	
005.056	79.3885	20.6115	
005.120	79.1514	20.8486	
005.184	78.9224	21.0776	
005.244	78.7028	21.2972	
005.308	78.5558	21.4442	
005.372	78.5019	21.4981	
005.436	78.5700	21.4300	
005.496	78.6534	21.3466	
005.556	78.8767	21.1233	
005.620	79.1162	20.8838	
005.684	79.3642	20.6358	
005.744	79.7370	20.2630	
005.808	80.1732	19.8268	
005.872	80.6806	19.3194	
005.936	81.1006	18.8994	
005.996	81.5210	18.4790	
006.056	81.9136	18.0864	
006.120	82.3013	17.6987	
006.184	82.6864	17.3136	
006.244	83.1282	16.8718	
006.308	83.5331	16.4669	
006.372	83.9165	16.0835	
006.436	84.2407	15.7593	
006.496	84.4219	15.5781	
006.556	84.4911	15.5089	
006.620	84.5114	15.4886	
006.684	84.5977	15.4023	
006.744	84.6245	15.3755	
006.808	84.6893	15.3107	
006.872	84.7794	15.2206	
006.936	84.8674	15.1326	
006.996	85.0214	14.9786	
7702	 7702	 7702 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.031	50.0000	50.0000	
000.034	51.9052	48.0948	
000.096	53.6175	46.3825	
000.160	55.2185	44.7815	
000.224	56.7343	43.2657	
000.284	58.1625	41.8375	
000.345	59.5626	40.4374	
000.413	60.8934	39.1066	
000.473	62.1444	37.8556	
000.533	63.3742	36.6258	
000.597	64.5717	35.4283	
000.661	65.7335	34.2665	
000.724	66.8990	33.1010	
000.785	68.0220	31.9780	
000.844	69.0709	30.9291	
000.912	70.0503	29.9497	
000.972	71.0659	28.9341	
001.032	72.1273	27.8727	
001.096	73.1787	26.8213	
001.160	74.2163	25.7837	
001.224	75.2279	24.7721	
001.284	76.1901	23.8099	
001.345	77.1025	22.8975	
001.412	77.9418	22.0582	
001.473	78.7735	21.2265	
001.533	79.5809	20.4191	
001.596	80.3557	19.6443	
001.660	81.0938	18.9062	
001.724	81.7954	18.2046	
001.784	82.4594	17.5406	
001.845	83.0772	16.9228	
001.913	83.6339	16.3661	
001.973	84.1511	15.8489	
002.032	84.5940	15.4060	
002.096	85.0267	14.9733	
7693	 7693	 7693 
7691	 7691	 7691 
000.001	50.0000	50.0000	
000.013	50.0000	50.0000	
000.017	50.0000	50.0000	
000.075	53.5013	46.4987	
000.139	55.1543	44.8457	
000.203	56.6882	43.3118	
000.263	58.1704	41.8296	
000.327	59.5396	40.4604	
000.391	60.8268	39.1732	
000.451	62.0679	37.9321	
000.512	63.2698	36.7302	
000.575	64.3297	35.6703	
000.639	65.2652	34.7348	
000.703	66.1973	33.8027	
000.763	67.1744	32.8256	
000.827	68.1287	31.8713	
000.891	69.0156	30.9844	
000.951	69.8408	30.1592	
001.011	70.5707	29.4293	
001.075	71.2460	28.7540	
001.139	71.8602	28.1398	
001.203	72.4584	27.5416	
001.263	72.9940	27.0060	
001.327	73.6044	26.3956	
001.391	74.1556	25.8444	
001.451	74.6647	25.3353	
001.511	75.0692	24.9308	
001.575	75.3998	24.6002	
001.639	75.6636	24.3364	
001.703	75.8180	24.1820	
001.763	75.7820	24.2180	
001.827	75.7297	24.2703	
001.891	75.7893	24.2107	
001.951	75.9054	24.0946	
002.011	75.9565	24.0435	
002.075	76.1100	23.8900	
002.139	76.2895	23.7105	
002.203	76.3310	23.6690	
002.263	76.3877	23.6123	
002.327	76.4082	23.5918	
002.391	76.4753	23.5247	
002.451	76.5180	23.4820	
002.511	76.6289	23.3711	
002.575	76.7572	23.2428	
002.639	76.8463	23.1537	
002.703	77.0484	22.9516	
002.763	77.3509	22.6491	
002.827	77.6103	22.3897	
002.891	77.8655	22.1345	
002.951	78.1093	21.8907	
003.011	78.3447	21.6553	
003.075	78.5584	21.4416	
003.139	78.7662	21.2338	
003.203	78.9697	21.0303	
003.263	79.2134	20.7866	
003.327	79.5142	20.4858	
003.391	79.7316	20.2684	
003.451	79.8951	20.1049	
003.511	80.1037	19.8963	
003.575	80.3898	19.6102	
003.639	80.7004	19.2996	
003.703	81.0318	18.9682	
003.763	81.3357	18.6643	
003.827	81.7072	18.2928	
003.891	82.0770	17.9230	
003.951	82.4704	17.5296	
004.011	82.8774	17.1226	
004.075	83.2306	16.7694	
